Denumire,Locatie,Pret_noapte,Nr_stele,Scor,Nr_evaluari,Nr_nopti,Check-in,Check-out,Nr_camere,Nr_adulti,Nr_copiii
Cabana Alpha,Maramures,220000.0,0,9.6,147.0,2,2025-04-25,2025-04-27,1,1,2
The Council,Sibiu,380000.0,3,8.5,1.834,2,2025-04-25,2025-04-27,1,1,2
Vamesu Frontiers,Sibiu,198000.0,3,9.5,38.0,2,2025-04-25,2025-04-27,1,1,2
Roxi's Apartment,Sibiu,240000.0,3,9.5,132.0,2,2025-04-25,2025-04-27,1,1,2
Pensiunea Haus Paltinul,Sibiu,230000.0,0,9.7,92.0,2,2025-04-25,2025-04-27,1,1,2
Harteneck Apartments,Sibiu,330000.0,0,9.7,384.0,2,2025-04-25,2025-04-27,1,1,2
Blumenhaus Sibiu,Sibiu,323000.0,0,9.3,397.0,2,2025-04-25,2025-04-27,1,1,2
Hotel Am Ring,Sibiu,283000.0,0,8.8,2.163,2,2025-04-25,2025-04-27,1,1,2
Studio with free Parking in the Center - Deliamo 3,Sibiu,207000.0,0,8.8,2.0,2,2025-04-25,2025-04-27,1,1,2
Free Garage in the Center-Delicia 4 Studio!,Sibiu,231000.0,3,9.7,74.0,2,2025-04-25,2025-04-27,1,1,2
Daylight Apartments Sibiu,Sibiu,144000.0,3,9.3,54.0,2,2025-04-25,2025-04-27,1,1,2
La Kanz,Sibiu,162000.0,3,8.7,17.0,2,2025-04-25,2025-04-27,1,1,2
Luxury Apartments Sibiu near Station and Mall with Parking,Sibiu,300000.0,3,9.3,112.0,2,2025-04-25,2025-04-27,1,1,2
Old City Studio,Sibiu,200000.0,3,9.6,60.0,2,2025-04-25,2025-04-27,1,1,2
Pension Ela,Sibiu,170000.0,0,9.3,540.0,2,2025-04-25,2025-04-27,1,1,2
Apartament Casa Dia 1,Sibiu,210000.0,3,9.4,48.0,2,2025-04-25,2025-04-27,1,1,2
Apartament Acasă,Sibiu,243000.0,3,9.8,52.0,2,2025-04-25,2025-04-27,1,1,2
Casa Blanca,Sibiu,250000.0,3,9.7,70.0,2,2025-04-25,2025-04-27,1,1,2
Blissful Apartments,Sibiu,270000.0,0,9.7,19.0,2,2025-04-25,2025-04-27,1,1,2
Hunyadi Luxury Kogalniceanu,Sibiu,315000.0,3,9.8,120.0,2,2025-04-25,2025-04-27,1,1,2
Casa Elena,Sibiu,160000.0,3,9.5,70.0,2,2025-04-25,2025-04-27,1,1,2
Smiley Apartment,Sibiu,360000.0,3,9.7,121.0,2,2025-04-25,2025-04-27,1,1,2
Twin Apartments,Sibiu,249000.0,3,9.8,132.0,2,2025-04-25,2025-04-27,1,1,2
Apartament de Lux André,Sibiu,371500.0,3,9.8,64.0,2,2025-04-25,2025-04-27,1,1,2
Bella-Isa Apartment Central,Sibiu,350000.0,3,9.6,293.0,2,2025-04-25,2025-04-27,1,1,2
Hotel Rin,Sibiu,375000.0,0,8.4,753.0,2,2025-04-25,2025-04-27,1,1,2
YMY HOTELS Târgu Jiu,Targu Jiu,348000.0,0,9.0,453.0,2,2025-04-25,2025-04-27,1,1,2
Elania Residence,Targu Jiu,179000.0,3,9.6,172.0,2,2025-04-25,2025-04-27,1,1,2
Daria Suite,Targu Jiu,256500.0,0,9.3,447.0,2,2025-04-25,2025-04-27,1,1,2
Casa Danielescu,Targu Jiu,257500.0,0,9.0,342.0,2,2025-04-25,2025-04-27,1,1,2
Ramada by Wyndham Targu Jiu,Targu Jiu,480500.0,0,9.2,707.0,2,2025-04-25,2025-04-27,1,1,2
Casa Alex,Targu Jiu,180000.0,3,9.1,143.0,2,2025-04-25,2025-04-27,1,1,2
Hotel Goya Boutique,Targu Jiu,346500.0,0,9.6,695.0,2,2025-04-25,2025-04-27,1,1,2
Central Apartment,Targu Jiu,225000.0,3,9.7,70.0,2,2025-04-25,2025-04-27,1,1,2
Targu Jiu Center,Targu Jiu,202500.0,0,9.7,0.0,2,2025-04-25,2025-04-27,1,1,2
Upstairs Residence,Targu Jiu,200000.0,0,9.8,187.0,2,2025-04-25,2025-04-27,1,1,2
Hotel Story,Targu Jiu,390000.0,0,8.4,770.0,2,2025-04-25,2025-04-27,1,1,2
Pensiunea Giovani,Targu Jiu,198000.0,0,9.3,149.0,2,2025-04-25,2025-04-27,1,1,2
Vintage Central Apartament,Targu Jiu,280000.0,3,9.3,92.0,2,2025-04-25,2025-04-27,1,1,2
UltraCentral Apartment,Targu Jiu,299500.0,3,9.6,22.0,2,2025-04-25,2025-04-27,1,1,2
Pensiunea Parâng,Targu Jiu,880.0,0,9.6,0.0,2,2025-04-25,2025-04-27,1,1,2
Harmony House,Targu Jiu,180000.0,3,9.7,59.0,2,2025-04-25,2025-04-27,1,1,2
Hotel Gorj,Targu Jiu,250000.0,0,7.3,213.0,2,2025-04-25,2025-04-27,1,1,2
Pensiunea Casa Hortopan,Targu Jiu,227000.0,3,9.6,204.0,2,2025-04-25,2025-04-27,1,1,2
Central Park 34,Targu Jiu,164000.0,0,9.6,0.0,2,2025-04-25,2025-04-27,1,1,2
Pensiunea Infinity,Targu Jiu,650.0,3,9.4,105.0,2,2025-04-25,2025-04-27,1,1,2
APARTAMENT 2 CAMERE TIRGU JIU,Targu Jiu,162000.0,3,9.6,42.0,2,2025-04-25,2025-04-27,1,1,2
Casa Cristal,Targu Jiu,220000.0,3,9.7,64.0,2,2025-04-25,2025-04-27,1,1,2
Hotel Palace,Targu Jiu,280000.0,0,8.3,64.0,2,2025-04-25,2025-04-27,1,1,2
Casa Sofia,Targu Jiu,152000.0,0,9.0,110.0,2,2025-04-25,2025-04-27,1,1,2
Casuta de vacanta Danuț&Erin,Targu Jiu,297000.0,3,9.7,25.0,2,2025-04-25,2025-04-27,1,1,2
Decebal-Residence High View Apartment,Craiova,324000.0,4,9.7,12.0,2,2025-04-25,2025-04-27,1,1,2
Ramada Plaza Craiova,Craiova,614.5,0,9.3,1.23,2,2025-04-25,2025-04-27,1,1,2
Hotel 5 Continents,Craiova,659.0,0,9.5,1.01,2,2025-04-25,2025-04-27,1,1,2
Puzzle Apartaments&Studios,Craiova,268500.0,3,9.7,1.052,2,2025-04-25,2025-04-27,1,1,2
ESCAPE LOUNGE,Craiova,275500.0,3,9.8,78.0,2,2025-04-25,2025-04-27,1,1,2
Hotel Bavaria,Craiova,280500.0,0,8.3,721.0,2,2025-04-25,2025-04-27,1,1,2
Hotel Golden House,Craiova,575.0,0,9.0,961.0,2,2025-04-25,2025-04-27,1,1,2
"CRISTAL Home Boutique Apartment 1 - Confort, Spatios, Linistit, Zona de interes",Craiova,336000.0,3,9.8,40.0,2,2025-04-25,2025-04-27,1,1,2
Apartament Kitty Centrul Istoric Craiova,Craiova,331500.0,3,9.9,25.0,2,2025-04-25,2025-04-27,1,1,2
Central Apartments,Craiova,243000.0,0,9.9,5.0,2,2025-04-25,2025-04-27,1,1,2
Arin l Aparthotel #1,Craiova,273500.0,3,9.8,34.0,2,2025-04-25,2025-04-27,1,1,2
1 Mai - Luxury Park Apartments - Self Check-in - Private parking - 2,Craiova,650.0,3,9.8,20.0,2,2025-04-25,2025-04-27,1,1,2
Hotel Splendid 1900,Craiova,476500.0,0,8.9,651.0,2,2025-04-25,2025-04-27,1,1,2
Teodoroiu nr. 5,Craiova,296000.0,0,9.3,783.0,2,2025-04-25,2025-04-27,1,1,2
Hotel Emma Est,Craiova,400000.0,0,8.7,418.0,2,2025-04-25,2025-04-27,1,1,2
Oltenia Studio George Enescu Craiova,Craiova,315000.0,3,9.9,55.0,2,2025-04-25,2025-04-27,1,1,2
DREAMS ESCAPE 2,Craiova,302500.0,0,9.8,97.0,2,2025-04-25,2025-04-27,1,1,2
Apartament lux ultracentral,Craiova,480000.0,3,9.8,96.0,2,2025-04-25,2025-04-27,1,1,2
Rooftop studio,Craiova,243000.0,3,8.6,69.0,2,2025-04-25,2025-04-27,1,1,2
Relax House Apartments,Craiova,395000.0,3,9.6,50.0,2,2025-04-25,2025-04-27,1,1,2
La Căsuță,Craiova,237500.0,3,9.6,22.0,2,2025-04-25,2025-04-27,1,1,2
Apartament Boem în Inima Oraşului Craiova,Craiova,490000.0,4,9.9,193.0,2,2025-04-25,2025-04-27,1,1,2
Epoca Central Boutique,Craiova,350000.0,4,9.0,136.0,2,2025-04-25,2025-04-27,1,1,2
Charlye Apartament,Craiova,218500.0,3,9.5,44.0,2,2025-04-25,2025-04-27,1,1,2
TwinsHause,Craiova,315000.0,3,9.7,25.0,2,2025-04-25,2025-04-27,1,1,2
Carolina Heritage,Alba Iulia,410000.0,0,9.4,817.0,2,2025-04-25,2025-04-27,1,1,2
Casa Pia,Alba Iulia,238500.0,3,9.4,34.0,2,2025-04-25,2025-04-27,1,1,2
Armada Aparthotel,Alba Iulia,210000.0,3,9.7,255.0,2,2025-04-25,2025-04-27,1,1,2
Regim hotelier Alba Iulia AmOS,Alba Iulia,162500.0,3,8.7,75.0,2,2025-04-25,2025-04-27,1,1,2
Vila Preciosa,Alba Iulia,285000.0,0,9.4,2.152,2,2025-04-25,2025-04-27,1,1,2
Hotel Mariss,Alba Iulia,260000.0,0,8.7,598.0,2,2025-04-25,2025-04-27,1,1,2
Bulevard Alba Iulia,Alba Iulia,280000.0,3,9.9,118.0,2,2025-04-25,2025-04-27,1,1,2
Hotel Astoria,Alba Iulia,195000.0,0,8.9,450.0,2,2025-04-25,2025-04-27,1,1,2
Cassys,Alba Iulia,230000.0,3,8.9,8.0,2,2025-04-25,2025-04-27,1,1,2
Apartament foarte ok,Alba Iulia,200000.0,3,8.9,13.0,2,2025-04-25,2025-04-27,1,1,2
Elma Guesthouse,Alba Iulia,297000.0,0,9.1,772.0,2,2025-04-25,2025-04-27,1,1,2
Steaua ALBA CAROLINA,Alba Iulia,211500.0,0,9.1,0.0,2,2025-04-25,2025-04-27,1,1,2
Apulum Apartment,Alba Iulia,380000.0,3,9.9,123.0,2,2025-04-25,2025-04-27,1,1,2
Modern Escape Cetate,Alba Iulia,198500.0,3,9.9,14.0,2,2025-04-25,2025-04-27,1,1,2
Apartament Anais,Alba Iulia,280000.0,3,9.9,43.0,2,2025-04-25,2025-04-27,1,1,2
Oli House,Alba Iulia,279000.0,3,9.1,396.0,2,2025-04-25,2025-04-27,1,1,2
Pensiunea Select,Alba Iulia,250000.0,0,8.3,538.0,2,2025-04-25,2025-04-27,1,1,2
Cetate Apartament,Alba Iulia,225000.0,3,8.9,105.0,2,2025-04-25,2025-04-27,1,1,2
Park Apartment 23,Alba Iulia,324000.0,3,9.2,17.0,2,2025-04-25,2025-04-27,1,1,2
Beautiful house in a very quite area,Alba Iulia,250000.0,0,9.7,7.0,2,2025-04-25,2025-04-27,1,1,2
cris residence,Alba Iulia,308000.0,3,9.7,19.0,2,2025-04-25,2025-04-27,1,1,2
Hotel Cetate,Alba Iulia,368000.0,0,7.3,2.185,2,2025-04-25,2025-04-27,1,1,2
Quatro Suite,Alba Iulia,216000.0,3,9.0,15.0,2,2025-04-25,2025-04-27,1,1,2
CONFORT HOUSE PLUS,Alba Iulia,223000.0,0,9.7,175.0,2,2025-04-25,2025-04-27,1,1,2
Apartamentul Cetății Alba Iulia,Alba Iulia,345000.0,3,9.9,131.0,2,2025-04-25,2025-04-27,1,1,2
Hampton by Hilton Cluj-Napoca,Cluj Napoca,385000.0,0,9.3,1.502,2,2025-04-25,2025-04-27,1,1,2
Vila Vidalis,Cluj Napoca,265500.0,0,8.6,621.0,2,2025-04-25,2025-04-27,1,1,2
Gigi Apartment,Cluj Napoca,252000.0,3,9.5,113.0,2,2025-04-25,2025-04-27,1,1,2
Allview apartment,Cluj Napoca,171000.0,4,9.9,73.0,2,2025-04-25,2025-04-27,1,1,2
New Central Luxury Oasis,Cluj Napoca,294500.0,3,8.9,137.0,2,2025-04-25,2025-04-27,1,1,2
Apartament Ultra Central,Cluj Napoca,310500.0,4,9.6,22.0,2,2025-04-25,2025-04-27,1,1,2
Sky Airport Hotel,Cluj Napoca,518.0,0,9.4,463.0,2,2025-04-25,2025-04-27,1,1,2
Eloom Living,Cluj Napoca,440000.0,4,9.4,4.0,2,2025-04-25,2025-04-27,1,1,2
Mozart Studios,Cluj Napoca,178000.0,3,9.2,435.0,2,2025-04-25,2025-04-27,1,1,2
Traian Apartment - Cluj,Cluj Napoca,329000.0,3,9.2,146.0,2,2025-04-25,2025-04-27,1,1,2
DoubleTree by Hilton Hotel Cluj - City Plaza,Cluj Napoca,724.5,0,9.0,903.0,2,2025-04-25,2025-04-27,1,1,2
Apartament - Cluj Napoca,Cluj Napoca,235000.0,0,8.4,5.0,2,2025-04-25,2025-04-27,1,1,2
Spacious 3 rooms 5* mansion near Muzeului square. Free parking,Cluj Napoca,384500.0,4,9.5,109.0,2,2025-04-25,2025-04-27,1,1,2
Golden Tulip Ana Dome Hotel,Cluj Napoca,486500.0,0,9.4,1.841,2,2025-04-25,2025-04-27,1,1,2
Apartament Septimiu Albini,Cluj Napoca,260000.0,3,9.4,47.0,2,2025-04-25,2025-04-27,1,1,2
Pension Verona Centru,Cluj Napoca,270000.0,0,8.6,1.3,2,2025-04-25,2025-04-27,1,1,2
Meda Apartments,Cluj Napoca,190000.0,3,8.7,99.0,2,2025-04-25,2025-04-27,1,1,2
Pensiunea Junior,Cluj Napoca,255000.0,0,8.1,2.67,2,2025-04-25,2025-04-27,1,1,2
Bloom Downtown Suites,Cluj Napoca,451500.0,0,9.6,216.0,2,2025-04-25,2025-04-27,1,1,2
Blue Apartment,Cluj Napoca,290000.0,3,9.6,56.0,2,2025-04-25,2025-04-27,1,1,2
House Pica,Cluj Napoca,430000.0,4,9.9,147.0,2,2025-04-25,2025-04-27,1,1,2
Apartament 2 camere cu loc de parcare,Cluj Napoca,250000.0,3,9.6,125.0,2,2025-04-25,2025-04-27,1,1,2
Oasului Residence,Cluj Napoca,294500.0,3,9.1,169.0,2,2025-04-25,2025-04-27,1,1,2
AD Apartments,Cluj Napoca,258000.0,4,9.6,1.227,2,2025-04-25,2025-04-27,1,1,2
Moldovei 2 Apartments by Central Park,Cluj Napoca,428000.0,0,9.9,62.0,2,2025-04-25,2025-04-27,1,1,2
Hampton by Hilton Cluj-Napoca,Cluj Napoca,503.0,0,9.3,1.502,2,2025-04-14,2025-04-16,1,1,2
Allview apartment,Cluj Napoca,171000.0,4,9.9,73.0,2,2025-04-14,2025-04-16,1,1,2
Sky Airport Hotel,Cluj Napoca,540.0,0,9.4,463.0,2,2025-04-14,2025-04-16,1,1,2
Gigi Apartment,Cluj Napoca,252000.0,3,9.5,113.0,2,2025-04-14,2025-04-16,1,1,2
Apartament Ultra Central,Cluj Napoca,297000.0,4,9.6,22.0,2,2025-04-14,2025-04-16,1,1,2
Vila Vidalis,Cluj Napoca,295000.0,0,8.6,621.0,2,2025-04-14,2025-04-16,1,1,2
New Central Luxury Oasis,Cluj Napoca,294500.0,3,8.9,137.0,2,2025-04-14,2025-04-16,1,1,2
LaReina Apartament,Cluj Napoca,256500.0,3,9.7,10.0,2,2025-04-14,2025-04-16,1,1,2
Meteor Central,Cluj Napoca,390000.0,0,8.3,1.078,2,2025-04-14,2025-04-16,1,1,2
Lovely House By Mary SuperCentral and Parking,Cluj Napoca,248000.0,4,9.6,14.0,2,2025-04-14,2025-04-16,1,1,2
Pretty Luxury Apartament's,Cluj Napoca,297000.0,4,9.7,161.0,2,2025-04-14,2025-04-16,1,1,2
Pensiunea Junior,Cluj Napoca,255000.0,0,8.1,2.67,2,2025-04-14,2025-04-16,1,1,2
Hotel Transilvania,Cluj Napoca,497500.0,0,8.1,2.228,2,2025-04-14,2025-04-16,1,1,2
DoubleTree by Hilton Hotel Cluj - City Plaza,Cluj Napoca,803.5,0,9.0,903.0,2,2025-04-14,2025-04-16,1,1,2
Topaz Boutique,Cluj Napoca,450000.0,0,8.3,751.0,2,2025-04-14,2025-04-16,1,1,2
Mozart Studios,Cluj Napoca,178000.0,3,9.2,435.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Belvedere,Cluj Napoca,654.0,0,8.4,2.646,2,2025-04-14,2025-04-16,1,1,2
ADt PROPIETY,Cluj Napoca,350000.0,3,9.4,25.0,2,2025-04-14,2025-04-16,1,1,2
Golden Tulip Ana Dome Hotel,Cluj Napoca,515.0,0,9.4,1.841,2,2025-04-14,2025-04-16,1,1,2
CITADEL ROOMS,Cluj Napoca,315000.0,3,9.6,382.0,2,2025-04-14,2025-04-16,1,1,2
Hanul Fullton,Cluj Napoca,367500.0,0,8.6,1.267,2,2025-04-14,2025-04-16,1,1,2
Grand Hotel Napoca,Cluj Napoca,531.5,0,8.7,1.702,2,2025-04-14,2025-04-16,1,1,2
Square View,Cluj Napoca,885.0,3,9.4,21.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Pami,Cluj Napoca,411000.0,0,8.6,1.555,2,2025-04-14,2025-04-16,1,1,2
Lovely Apartment Near City Center (w/ Parking),Cluj Napoca,281000.0,0,9.7,191.0,2,2025-04-14,2025-04-16,1,1,2
Carolina Heritage,Alba Iulia,410000.0,0,9.4,817.0,2,2025-04-14,2025-04-16,1,1,2
Vila Preciosa,Alba Iulia,285000.0,0,9.4,2.152,2,2025-04-14,2025-04-16,1,1,2
Hotel Transilvania,Alba Iulia,249000.0,0,8.8,1.18,2,2025-04-14,2025-04-16,1,1,2
Bulevard Alba Iulia,Alba Iulia,250000.0,3,9.9,118.0,2,2025-04-14,2025-04-16,1,1,2
Carolina,Alba Iulia,200000.0,3,9.9,35.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Mariss,Alba Iulia,260000.0,0,8.7,598.0,2,2025-04-14,2025-04-16,1,1,2
Kitty Sunflower Apartment,Alba Iulia,250000.0,3,9.9,105.0,2,2025-04-14,2025-04-16,1,1,2
Apartament 209,Alba Iulia,247000.0,3,9.5,88.0,2,2025-04-14,2025-04-16,1,1,2
Apartament Anais,Alba Iulia,240000.0,3,9.5,43.0,2,2025-04-14,2025-04-16,1,1,2
Apartament HERA,Alba Iulia,269000.0,3,9.9,86.0,2,2025-04-14,2025-04-16,1,1,2
Armada Aparthotel,Alba Iulia,210000.0,3,9.7,255.0,2,2025-04-14,2025-04-16,1,1,2
Bloom Apartament,Alba Iulia,230000.0,3,9.8,152.0,2,2025-04-14,2025-04-16,1,1,2
Cassys,Alba Iulia,220000.0,3,9.8,8.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Astoria,Alba Iulia,195000.0,0,8.9,450.0,2,2025-04-14,2025-04-16,1,1,2
The Corner50,Alba Iulia,167000.0,3,9.6,857.0,2,2025-04-14,2025-04-16,1,1,2
Casa Pia,Alba Iulia,238500.0,3,9.4,34.0,2,2025-04-14,2025-04-16,1,1,2
Matia Resort,Alba Iulia,200000.0,3,8.8,1.09,2,2025-04-14,2025-04-16,1,1,2
Cetate Apartament,Alba Iulia,200000.0,3,8.9,105.0,2,2025-04-14,2025-04-16,1,1,2
Steaua ALBA CAROLINA,Alba Iulia,211500.0,0,8.9,0.0,2,2025-04-14,2025-04-16,1,1,2
Vila Steaua Nordului,Alba Iulia,300000.0,0,8.5,223.0,2,2025-04-14,2025-04-16,1,1,2
Apulum Apartment,Alba Iulia,380000.0,3,9.9,123.0,2,2025-04-14,2025-04-16,1,1,2
CONFORT HOUSE PLUS,Alba Iulia,189500.0,0,9.7,175.0,2,2025-04-14,2025-04-16,1,1,2
Oli House,Alba Iulia,279000.0,3,9.1,396.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Medieval,Alba Iulia,700.0,0,8.6,737.0,2,2025-04-14,2025-04-16,1,1,2
Alba Carolina Hideway,Alba Iulia,180000.0,3,9.0,1.0,2,2025-04-14,2025-04-16,1,1,2
Downtown Apartment,Craiova,320000.0,3,9.3,58.0,2,2025-04-14,2025-04-16,1,1,2
Ramada Plaza Craiova,Craiova,682.5,0,9.3,1.23,2,2025-04-14,2025-04-16,1,1,2
Hotel 5 Continents,Craiova,709.0,0,9.5,1.01,2,2025-04-14,2025-04-16,1,1,2
Jasminique Suite,Craiova,182500.0,0,9.9,12.0,2,2025-04-14,2025-04-16,1,1,2
DIDI Apartament,Craiova,198000.0,3,9.6,272.0,2,2025-04-14,2025-04-16,1,1,2
Crystal Luxury,Craiova,356000.0,0,9.9,28.0,2,2025-04-14,2025-04-16,1,1,2
Puzzle Apartaments&Studios,Craiova,268500.0,3,9.7,1.052,2,2025-04-14,2025-04-16,1,1,2
Hotel Golden House,Craiova,575.0,0,9.0,961.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Green House,Craiova,500.0,0,7.5,2.651,2,2025-04-14,2025-04-16,1,1,2
Teodoroiu nr. 5,Craiova,265000.0,0,9.3,783.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Emma Est,Craiova,400000.0,0,8.7,418.0,2,2025-04-14,2025-04-16,1,1,2
Relax House Apartments,Craiova,375000.0,3,9.6,50.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Splendid 1900,Craiova,476500.0,0,8.9,651.0,2,2025-04-14,2025-04-16,1,1,2
Aparthotel Craiova,Craiova,765.0,0,9.8,317.0,2,2025-04-14,2025-04-16,1,1,2
Apartament 2 camere etaj 4 din 4,Craiova,257500.0,3,9.7,73.0,2,2025-04-14,2025-04-16,1,1,2
Decebal-Residence High View Apartment,Craiova,324000.0,4,9.7,12.0,2,2025-04-14,2025-04-16,1,1,2
Central Suite Craiova,Craiova,318000.0,3,9.7,63.0,2,2025-04-14,2025-04-16,1,1,2
Apartament Rovine,Craiova,229000.0,0,9.2,66.0,2,2025-04-14,2025-04-16,1,1,2
Apartament Central 3,Craiova,382500.0,3,9.2,15.0,2,2025-04-14,2025-04-16,1,1,2
Romanescu One Apartament,Craiova,325000.0,3,9.6,40.0,2,2025-04-14,2025-04-16,1,1,2
Bistro Centru Vechi Craiova,Craiova,245000.0,0,9.1,465.0,2,2025-04-14,2025-04-16,1,1,2
Arin l Aparthotel #1,Craiova,273500.0,3,9.8,34.0,2,2025-04-14,2025-04-16,1,1,2
English Apartment,Craiova,513.0,3,9.6,49.0,2,2025-04-14,2025-04-16,1,1,2
Apartament Mario,Craiova,495000.0,0,9.6,0.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Bavaria,Craiova,500.5,0,8.3,721.0,2,2025-04-14,2025-04-16,1,1,2
Daria Suite,Targu Jiu,256500.0,0,9.3,447.0,2,2025-04-14,2025-04-16,1,1,2
YMY HOTELS Târgu Jiu,Targu Jiu,348000.0,0,9.0,453.0,2,2025-04-14,2025-04-16,1,1,2
Elania Residence,Targu Jiu,179000.0,3,9.6,172.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Anna,Targu Jiu,510.0,0,9.6,542.0,2,2025-04-14,2025-04-16,1,1,2
Ramada by Wyndham Targu Jiu,Targu Jiu,480500.0,0,9.2,707.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Goya Boutique,Targu Jiu,346500.0,0,9.6,695.0,2,2025-04-14,2025-04-16,1,1,2
Casa Danielescu,Targu Jiu,257500.0,0,9.0,342.0,2,2025-04-14,2025-04-16,1,1,2
Casa Alex,Targu Jiu,180000.0,3,9.1,143.0,2,2025-04-14,2025-04-16,1,1,2
UltraCentral Apartment,Targu Jiu,256500.0,3,9.6,22.0,2,2025-04-14,2025-04-16,1,1,2
Targu Jiu Center,Targu Jiu,209500.0,0,9.6,0.0,2,2025-04-14,2025-04-16,1,1,2
Harmony House,Targu Jiu,180000.0,3,9.7,59.0,2,2025-04-14,2025-04-16,1,1,2
Pensiunea Giovani,Targu Jiu,198000.0,0,9.3,149.0,2,2025-04-14,2025-04-16,1,1,2
Pensiunea Infinity,Targu Jiu,650.0,3,9.4,105.0,2,2025-04-14,2025-04-16,1,1,2
Upstairs Residence,Targu Jiu,200000.0,0,9.8,187.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Gorj,Targu Jiu,310000.0,0,7.3,213.0,2,2025-04-14,2025-04-16,1,1,2
Pensiunea Casa Hortopan,Targu Jiu,217500.0,3,9.6,204.0,2,2025-04-14,2025-04-16,1,1,2
Pensiunea Parâng,Targu Jiu,880.0,0,9.6,0.0,2,2025-04-14,2025-04-16,1,1,2
Vintage Central Apartament,Targu Jiu,280000.0,3,9.3,92.0,2,2025-04-14,2025-04-16,1,1,2
Apartament Casa Dragoeni,Targu Jiu,150000.0,3,9.2,35.0,2,2025-04-14,2025-04-16,1,1,2
Enigma Pension,Targu Jiu,315000.0,0,9.1,105.0,2,2025-04-14,2025-04-16,1,1,2
Casa File de Poveste,Targu Jiu,260000.0,3,9.3,125.0,2,2025-04-14,2025-04-16,1,1,2
Casa de la Nuc,Targu Jiu,250000.0,3,9.8,129.0,2,2025-04-14,2025-04-16,1,1,2
Villa Sara,Targu Jiu,260000.0,3,9.5,9.0,2,2025-04-14,2025-04-16,1,1,2
Guest house,Targu Jiu,254000.0,3,9.7,68.0,2,2025-04-14,2025-04-16,1,1,2
Apartament Axa Brâncuși,Targu Jiu,399000.0,3,9.3,18.0,2,2025-04-14,2025-04-16,1,1,2
Studio Excelsior 1,Sibiu,175000.0,3,8.4,66.0,2,2025-04-14,2025-04-16,1,1,2
Arhivelor Studios,Sibiu,220000.0,3,9.9,549.0,2,2025-04-14,2025-04-16,1,1,2
Apartament Old City,Sibiu,145000.0,3,8.0,86.0,2,2025-04-14,2025-04-16,1,1,2
Vamesu Frontiers,Sibiu,198000.0,3,9.5,38.0,2,2025-04-14,2025-04-16,1,1,2
Free Garage in the Center-Delicia 4 Studio!,Sibiu,215500.0,3,9.7,74.0,2,2025-04-14,2025-04-16,1,1,2
Studio with free Parking in the Center - Deliamo 3,Sibiu,187000.0,0,9.7,2.0,2,2025-04-14,2025-04-16,1,1,2
Galeria Grafit Apartments,Sibiu,190000.0,0,9.5,1.154,2,2025-04-14,2025-04-16,1,1,2
Daylight Apartments Sibiu,Sibiu,144000.0,3,9.3,54.0,2,2025-04-14,2025-04-16,1,1,2
Roxi's Apartment,Sibiu,240000.0,3,9.5,132.0,2,2025-04-14,2025-04-16,1,1,2
Rubin,Sibiu,360000.0,0,8.6,483.0,2,2025-04-14,2025-04-16,1,1,2
Casa Hermanni,Sibiu,240000.0,3,9.7,1.031,2,2025-04-14,2025-04-16,1,1,2
Casa Wagner,Sibiu,320000.0,3,9.7,469.0,2,2025-04-14,2025-04-16,1,1,2
Schick apartment,Sibiu,168000.0,3,8.3,1.024,2,2025-04-14,2025-04-16,1,1,2
La Kanz,Sibiu,162000.0,3,8.7,17.0,2,2025-04-14,2025-04-16,1,1,2
Smiley Deluxe,Sibiu,270000.0,3,9.9,90.0,2,2025-04-14,2025-04-16,1,1,2
Select House,Sibiu,236500.0,3,9.7,426.0,2,2025-04-14,2025-04-16,1,1,2
Apartament Turnul Olarilor,Sibiu,213000.0,3,9.3,264.0,2,2025-04-14,2025-04-16,1,1,2
The Council,Sibiu,313500.0,3,8.5,1.834,2,2025-04-14,2025-04-16,1,1,2
Hotel Stefani,Sibiu,400500.0,0,8.9,1.87,2,2025-04-14,2025-04-16,1,1,2
Blumenhaus Sibiu,Sibiu,323000.0,0,9.3,397.0,2,2025-04-14,2025-04-16,1,1,2
Conrad Haas Apartment,Sibiu,320000.0,3,8.7,88.0,2,2025-04-14,2025-04-16,1,1,2
Luxury Apartments Sibiu near Station and Mall with Parking,Sibiu,285000.0,3,9.3,112.0,2,2025-04-14,2025-04-16,1,1,2
Pension Ela,Sibiu,170000.0,0,9.3,540.0,2,2025-04-14,2025-04-16,1,1,2
Hotel Rin,Sibiu,350000.0,0,8.4,753.0,2,2025-04-14,2025-04-16,1,1,2
Blissful Apartments,Sibiu,225000.0,0,8.4,19.0,2,2025-04-14,2025-04-16,1,1,2
